Filename	Segment	posemo	negemo
347.txt	1	0.00	14.29
409.txt	1	0.00	0.00
390.txt	1	20.00	0.00
384.txt	1	10.00	10.00
151.txt	1	0.00	50.00
145.txt	1	0.00	50.00
93.txt	1	14.29	0.00
179.txt	1	50.00	0.00
87.txt	1	11.11	0.00
192.txt	1	10.00	0.00
186.txt	1	55.56	0.00
78.txt	1	33.33	33.33
50.txt	1	0.00	0.00
2.txt	1	0.00	0.00
44.txt	1	0.00	0.00
227.txt	1	10.00	0.00
233.txt	1	0.00	0.00
219.txt	1	16.67	16.67
225.txt	1	25.00	0.00
231.txt	1	38.46	0.00
52.txt	1	33.33	0.00
46.txt	1	0.00	0.00
190.txt	1	0.00	0.00
184.txt	1	20.00	0.00
91.txt	1	100.00	0.00
85.txt	1	50.00	0.00
153.txt	1	0.00	0.00
147.txt	1	20.00	0.00
392.txt	1	0.00	25.00
386.txt	1	50.00	0.00
379.txt	1	100.00	0.00
437.txt	1	0.00	0.00
351.txt	1	0.00	0.00
345.txt	1	33.33	0.00
423.txt	1	14.29	14.29
344.txt	1	28.57	0.00
422.txt	1	0.00	0.00
436.txt	1	0.00	0.00
350.txt	1	0.00	0.00
378.txt	1	100.00	0.00
387.txt	1	0.00	0.00
393.txt	1	0.00	50.00
146.txt	1	0.00	0.00
152.txt	1	20.00	0.00
84.txt	1	0.00	0.00
90.txt	1	33.33	0.00
185.txt	1	66.67	0.00
191.txt	1	0.00	0.00
47.txt	1	20.00	0.00
1.txt	1	14.29	0.00
53.txt	1	20.00	0.00
230.txt	1	0.00	0.00
224.txt	1	0.00	0.00
218.txt	1	40.00	0.00
280.txt	1	12.50	0.00
294.txt	1	16.67	0.00
243.txt	1	38.46	0.00
257.txt	1	38.46	0.00
34.txt	1	0.00	0.00
20.txt	1	22.22	0.00
135.txt	1	8.33	0.00
121.txt	1	9.09	0.00
109.txt	1	50.00	0.00
492.txt	1	0.00	14.29
486.txt	1	0.00	0.00
451.txt	1	38.46	0.00
337.txt	1	28.57	0.00
323.txt	1	16.67	0.00
445.txt	1	0.00	0.00
479.txt	1	100.00	0.00
478.txt	1	0.00	0.00
322.txt	1	0.00	50.00
444.txt	1	0.00	0.00
450.txt	1	0.00	0.00
336.txt	1	0.00	0.00
487.txt	1	25.00	0.00
493.txt	1	100.00	0.00
108.txt	1	0.00	100.00
120.txt	1	0.00	0.00
134.txt	1	100.00	0.00
21.txt	1	0.00	0.00
35.txt	1	100.00	0.00
256.txt	1	27.27	0.00
242.txt	1	37.50	0.00
295.txt	1	0.00	0.00
281.txt	1	38.46	0.00
297.txt	1	50.00	0.00
283.txt	1	0.00	0.00
254.txt	1	25.00	0.00
240.txt	1	0.00	0.00
268.txt	1	66.67	0.00
23.txt	1	20.00	0.00
37.txt	1	100.00	0.00
122.txt	1	11.11	0.00
136.txt	1	11.11	0.00
485.txt	1	33.33	0.00
491.txt	1	8.33	8.33
446.txt	1	33.33	0.00
320.txt	1	0.00	0.00
334.txt	1	10.00	0.00
452.txt	1	25.00	0.00
308.txt	1	50.00	0.00
309.txt	1	16.67	0.00
335.txt	1	0.00	6.67
453.txt	1	0.00	0.00
447.txt	1	0.00	0.00
321.txt	1	25.00	0.00
490.txt	1	0.00	16.67
484.txt	1	0.00	0.00
137.txt	1	36.36	0.00
123.txt	1	0.00	0.00
36.txt	1	0.00	0.00
22.txt	1	0.00	0.00
269.txt	1	50.00	0.00
241.txt	1	38.46	0.00
255.txt	1	38.46	0.00
282.txt	1	0.00	20.00
296.txt	1	80.00	0.00
292.txt	1	50.00	0.00
286.txt	1	0.00	0.00
279.txt	1	20.00	0.00
251.txt	1	33.33	0.00
245.txt	1	0.00	0.00
26.txt	1	11.11	0.00
32.txt	1	0.00	0.00
127.txt	1	50.00	0.00
133.txt	1	0.00	0.00
480.txt	1	50.00	0.00
494.txt	1	50.00	0.00
319.txt	1	0.00	0.00
325.txt	1	50.00	0.00
443.txt	1	0.00	0.00
457.txt	1	50.00	0.00
331.txt	1	100.00	0.00
456.txt	1	0.00	0.00
330.txt	1	0.00	0.00
324.txt	1	50.00	0.00
442.txt	1	33.33	0.00
318.txt	1	50.00	0.00
495.txt	1	20.00	0.00
481.txt	1	0.00	40.00
132.txt	1	25.00	0.00
126.txt	1	60.00	0.00
33.txt	1	0.00	25.00
27.txt	1	20.00	0.00
244.txt	1	20.00	0.00
250.txt	1	100.00	0.00
278.txt	1	35.71	0.00
287.txt	1	30.00	0.00
293.txt	1	25.00	0.00
285.txt	1	0.00	0.00
291.txt	1	0.00	0.00
246.txt	1	38.46	0.00
252.txt	1	0.00	0.00
31.txt	1	0.00	0.00
25.txt	1	25.00	0.00
19.txt	1	55.56	11.11
118.txt	1	11.11	0.00
130.txt	1	25.00	0.00
124.txt	1	50.00	0.00
497.txt	1	50.00	0.00
483.txt	1	0.00	0.00
468.txt	1	0.00	0.00
332.txt	1	0.00	0.00
454.txt	1	25.00	0.00
440.txt	1	0.00	0.00
326.txt	1	33.33	0.00
441.txt	1	0.00	0.00
327.txt	1	0.00	0.00
333.txt	1	25.00	0.00
455.txt	1	38.46	0.00
469.txt	1	62.50	0.00
482.txt	1	33.33	0.00
496.txt	1	9.09	0.00
125.txt	1	8.33	0.00
131.txt	1	0.00	0.00
119.txt	1	0.00	0.00
18.txt	1	0.00	0.00
24.txt	1	0.00	0.00
30.txt	1	0.00	0.00
253.txt	1	0.00	0.00
247.txt	1	20.00	0.00
290.txt	1	0.00	0.00
284.txt	1	0.00	0.00
